"Date","Description","ChkRef","Amount","Balance"
"10/22/2019","PAYPAL INST XFER MICROSOFT","","-$6.99","$458.21"
"10/22/2019","PAYPAL INST XFER SPOTIFYUSAI","","-$10.89","$447.32"
"10/23/2019","XX4125 POS PURCHASE Wal-Mart Super C CONWAY AR 00050035 929679452505","","-$8.60","$438.72"
"10/23/2019","XX4125 POS PURCHASE TMOBILE*AUTO PAY 800-937-8997 WA 00000000 076523","","-$80.00","$358.72"
"10/23/2019","PAYPAL INST XFER ITUNESAPPST","","-$9.99","$348.73"
"10/24/2019","PAYPAL INST XFER ITUNESAPPST","","-$0.99","$347.74"
"10/25/2019","COMCAST 8396600 012460608 4984629","","-$39.99","$307.75"
"10/28/2019","Apple Cash TRANSFER William Block","","$150.00","$457.75"
"10/29/2019","PAYPAL INST XFER ITUNESAPPST","","-$14.99","$442.76"
"10/30/2019","XX4125 ATM WITHDRAWAL BANK OZK CONWAY AR AR000138 004190","","-$20.00","$422.76"
"10/30/2019","XX4125 ATM WITHDRAWAL BANK OZK CONWAY AR AR000138 004189","","-$40.00","$382.76"
"11/04/2019","XX4125 ATM WITHDRAWAL BANK OZK CONWAY AR AR000175 009573","","-$20.00","$362.76"
"11/04/2019","XX4125 ATM WITHDRAWAL BANK OZK CONWAY AR AR000175 009661","","-$60.00","$302.76"
"11/04/2019","XX4125 MT DDA DEBIT CASH APP*DONALD 8774174551 CA 00000000 062856","","-$80.80","$221.96"
"11/05/2019","Merkle Inc.-OSV EDIPYMENTS 002Uwt","","$1,545.31","$1,767.27"
"11/06/2019","XX4125 POS PURCHASE WM SUPERCENTER # CONWAY (SOUTH AR 25750049 235309","","-$61.55","$1,705.72"
"11/06/2019","XX4125 MT DDA DEBIT CASH APP*DONALD 8774174551 CA 00000000 066752","","-$293.00","$1,412.72"
"11/07/2019","XX4125 POS PURCHASE KUM &amp; GO #0158 CONWAY AR 04389001 727035","","-$32.37","$1,380.35"
"11/07/2019","A CLOUD GURU LTD IAT PAYPAL 1007071491667","","-$29.00","$1,351.35"
"11/08/2019","XX4125 POS PURCHASE DAVID&#39;S BURGERS LITTLE ROCK AR 00B07321 020016","","-$9.41","$1,341.94"
"11/12/2019","XX4125 POS PURCHASE KUM &amp; GO #0158 CONWAY AR 04389001 426813","","-$3.26","$1,338.68"
"11/12/2019","XX4125 POS PURCHASE TACO BELL 585 CONWAY AR 006 023033","","-$14.42","$1,324.26"
"11/12/2019","XX4125 POS PURCHASE POPEYES 5733 CONWAY AR 00004360 010496","","-$14.54","$1,309.72"
"11/12/2019","XX4125 POS PURCHASE BOBS GRILL CONWAY AR 02534278 087596","","-$14.72","$1,295.00"
"11/12/2019","XX4125 POS PURCHASE SQ *HURTS DONUT Little Rock AR 00000000 005218","","-$23.87","$1,271.13"
"11/12/2019","XX4125 POS PURCHASE LOST 40 BREWING LITTLE ROCK AR 00B50015 050044","","-$24.73","$1,246.40"
"11/12/2019","XX4125 POS PURCHASE KUM &amp; GO #0158 CONWAY AR 1 010977","","-$28.81","$1,217.59"
"11/12/2019","XX4125 ATM WITHDRAWAL BANK OZK CONWAY AR AR000175 009922","","-$40.00","$1,177.59"
"11/12/2019","XX4125 ATM WITHDRAWAL BANK OZK CONWAY AR AR000175 009923","","-$80.00","$1,097.59"
"11/12/2019","XX4125 ATM WITHDRAWAL BANK OZK CONWAY AR AR000175 009989","","-$80.00","$1,017.59"
"11/12/2019","PAYPAL INST XFER APPLE.COM BILL","","-$99.99","$917.60"
"11/13/2019","XX4125 POS PURCHASE KUM &amp; GO #0158 CONWAY AR 04389001 986165","","-$5.94","$911.66"
"11/14/2019","XX4125 POS PURCHASE MCDONALD&#39;S F3290 CONWAY AR 1 063963","","-$4.45","$907.21"
"11/14/2019","XX4125 POS PURCHASE KUM &amp; GO #0158 CONWAY AR 04389001 166952","","-$6.53","$900.68"
"11/14/2019","XX4125 POS PURCHASE TACO BELL 585 CONWAY AR 006 092137","","-$8.88","$891.80"
"11/15/2019","XX4125 POS PURCHASE MCDONALD&#39;S F3290 CONWAY AR 1 072434","","-$4.45","$887.35"
"11/15/2019","XX4125 POS PURCHASE WAL-MART #2575 CONWAY AR 24257501 090687","","-$79.05","$808.30"
"11/18/2019","XX4125 POS PURCHASE MAPCO 7526 545 E CONWAY AR 99999999 608600","","-$4.77","$803.53"
"11/18/2019","XX4125 POS PURCHASE KUM &amp; GO #0158 CONWAY AR 04389001 495107","","-$6.53","$797.00"
"11/18/2019","XX4125 POS PURCHASE POPEYES 5733 CONWAY AR 00004360 010251","","-$6.66","$790.34"
"11/18/2019","XX4125 POS PURCHASE GULF OIL 9204939 CONWAY AR 94116301 541624","","-$7.17","$783.17"
"11/18/2019","XX4125 POS PURCHASE MCDONALD&#39;S F3290 CONWAY AR 1 039169","","-$7.79","$775.38"
"11/18/2019","XX4125 POS PURCHASE WAL-MART #0005 CONWAY AR 24000501 726392","","-$8.88","$766.50"
"11/18/2019","XX4125 POS PURCHASE KUM &amp; GO #0158 CONWAY AR 04389001 472728","","-$13.67","$752.83"
"11/18/2019","XX4125 POS PURCHASE FLYING FISH LITTLE ROCK AR 00428479 050080","","-$25.81","$727.02"
"11/18/2019","XX4125 POS PURCHASE MAPCO 7526 545 E CONWAY AR 99999999 620357","","-$27.91","$699.11"
"11/18/2019","AMEX EPAYMENT ACH PMT M4472","","-$550.00","$149.11"
"11/20/2019","Merkle Inc.-OSV EDIPYMENTS 002W34","","$1,545.32","$1,694.43"
"11/20/2019","XX4125 POS PURCHASE TACO BUENO CONWAY AR 28770381 070381","","-$11.09","$1,683.34"
"11/20/2019","XX4125 ATM WITHDRAWAL BANK OZK CONWAY AR AR000175 000371","","-$60.00","$1,623.34"
"11/20/2019","CAPITAL ONE MOBILE PMT 932339800575771","","-$35.92","$1,587.42"
"11/21/2019","XX4125 ATM WITHDRAWAL BANK OZK CONWAY AR AR000175 000431","","-$40.00","$1,547.42"
"11/22/2019","XX4125 POS PURCHASE MCDONALD&#39;S F3290 CONWAY AR 1 002408","","-$4.45","$1,542.97"
"11/22/2019","XX4125 POS PURCHASE WENDY&#39;S 51 CONWAY AR 59662009 230207","","-$9.10","$1,533.87"
"11/22/2019","PAYPAL INST XFER MICROSOFT OFFIC","","-$6.99","$1,526.88"
"11/22/2019","PAYPAL INST XFER SPOTIFYUSAI","","-$10.89","$1,515.99"
"11/25/2019","ALLY BANK TRIALCREDT XXXXXX0985","","$0.21","$1,516.20"
"11/25/2019","ALLY BANK TRIALCREDT XXXXXX0983","","$0.37","$1,516.57"
"11/25/2019","XX4125 POS PURCHASE SATTERFIELD #1 CONWAY AR 51312401 441943","","-$2.16","$1,514.41"
"11/25/2019","XX4125 POS PURCHASE MCDONALD&#39;S F3290 CONWAY AR 1 049124","","-$4.45","$1,509.96"
"11/25/2019","XX4125 POS PURCHASE WM SUPERCENTER # CONWAY AR 00050040 137365","","-$9.86","$1,500.10"
"11/25/2019","XX4125 POS PURCHASE SLIM CHICKENS 1 CONWAY AR 00A58791 010270","","-$9.99","$1,490.11"
"11/25/2019","XX4125 POS PURCHASE NARU SUSHI &amp; GRI CONWAY AR 00000001 054952","","-$13.71","$1,476.40"
"11/25/2019","XX4125 ATM WITHDRAWAL BANK OZK CONWAY AR AR000138 005777","","-$20.00","$1,456.40"
"11/25/2019","XX4125 POS PURCHASE WM SUPERCENTER # CONWAY AR 00050048 147754","","-$30.10","$1,426.30"
"11/25/2019","XX4125 POS PURCHASE TMOBILE*AUTO PAY 800-937-8997 WA 00000000 054719","","-$80.00","$1,346.30"
"11/25/2019","XX4125 ATM WITHDRAWAL BANK OZK CONWAY AR AR000138 005776","","-$100.00","$1,246.30"
"11/25/2019","ALLY BANK TRIALDEBIT 1913760987","","-$0.58","$1,245.72"
"11/25/2019","PAYPAL INST XFER APPLE.COM BILL","","-$0.99","$1,244.73"
"11/25/2019","COMCAST 8396600 012460608 8078853","","-$39.99","$1,204.74"
"11/25/2019","PAYPAL INST XFER APPLE.COM BILL","","-$59.99","$1,144.75"
"11/25/2019","BKOZK TRANSFER 1914221871","","-$200.00","$944.75"
"11/25/2019","AMEX EPAYMENT ACH PMT W2738","","-$500.00","$444.75"
"11/26/2019","XX4125 MT DDA CREDIT APPLE CASH Visa Direct CA 03972402 401735","","$79.20","$523.95"
"11/26/2019","XX4125 POS PURCHASE KUM &amp; GO #0158 CONWAY AR 04389001 722776","","-$3.91","$520.04"
"11/26/2019","XX4125 POS PURCHASE EAT MY CATFISH CONWAY AR 0000KZTJ 080062","","-$39.67","$480.37"
"11/26/2019","FEDLOANSERVICING STDNT LOAN 6NM9IIAG211","","-$457.00","$23.37"
"11/27/2019","XX4125 MT DDA CREDIT Cash App*Cash Ou Visa Direct CA 1 320852","","$101.60","$124.97"
"11/27/2019","XX4125 MT DDA DEBIT CASH APP*JACOB H 8774174551 CA 00000000 044361","","-$10.00","$114.97"
"11/29/2019","XX4125 MT DDA DEBIT APPLE CASH 877-233-8552 CA 00000778 016090","","-$80.00","$34.97"
"12/02/2019","CLUB FEES 10 FITNESS ABC - 10 FITNESS 888-827-9262","","-$30.50","$4.47"
"12/05/2019","Merkle Inc.-OSV EDIPYMENTS 002Xk4","","$1,545.32","$1,549.79"
"12/05/2019","XX4125 MT DDA DEBIT CASH APP*DONALD 8774174551 CA 00000000 088002","","-$44.50","$1,505.29"
"12/06/2019","XX4125 MT DDA DEBIT CASH APP*DONALD 8774174551 CA 00000000 084228","","-$345.00","$1,160.29"
"12/09/2019","XX4125 POS PURCHASE WENDY&#39;S 51 CONWAY AR 59662009 052051","","-$9.66","$1,150.63"
"12/09/2019","XX4125 ATM WITHDRAWAL BANK OZK CONWAY AR AR000138 006525","","-$20.00","$1,130.63"
"12/09/2019","XX4125 POS PURCHASE SPORT CLIPS - AR CONWAY AR 51867344 067344","","-$38.37","$1,092.26"
"12/09/2019","XX4125 ATM WITHDRAWAL BANK OZK CONWAY AR AR000138 006587","","-$40.00","$1,052.26"
"12/09/2019","XX4125 POS PURCHASE Wal-Mart Super C CONWAY (SOUTH AR 25750050 9342925","","-$87.03","$965.23"
"12/09/2019","A CLOUD GURU LTD IAT PAYPAL 1007369766855","","-$29.00","$936.23"
"12/13/2019","XX4125 POS PURCHASE WM SUPERCENTER # CONWAY AR 00050041 240729","","-$8.88","$927.35"
"12/13/2019","XX4125 POS PURCHASE WENDY&#39;S 26 CONWAY AR 59423008 874477","","-$10.21","$917.14"
"12/16/2019","XX4125 POS PURCHASE Wal-Mart Super C BRYANT AR 32300028 934814241535","","-$4.35","$912.79"
"12/16/2019","XX4125 POS PURCHASE KUM &amp; GO #0158 CONWAY AR 04389001 367540","","-$6.76","$906.03"
"12/16/2019","XX4125 POS PURCHASE MCDONALD&#39;S F3290 CONWAY AR 1 052537","","-$7.33","$898.70"
"12/16/2019","XX4125 POS PURCHASE MCDONALD&#39;S F3290 CONWAY AR 1 058874","","-$7.33","$891.37"
"12/16/2019","XX4125 POS PURCHASE CHICK-FIL-A #021 BRYANT AR 1 031288","","-$8.66","$882.71"
"12/16/2019","XX4125 POS PURCHASE BEARS DEN PIZZA CONWAY AR 00472809 000288","","-$9.00","$873.71"
"12/16/2019","XX4125 POS PURCHASE KROGER #629 BENTON AR 80062966 066182","","-$15.00","$858.71"
"12/16/2019","XX4125 POS PURCHASE POPEYES 4015 LITTLE ROCK AR 00005364 060105","","-$17.85","$840.86"
"12/16/2019","XX4125 ATM WITHDRAWAL BEARS STATIO-329 CONWAY AR P329528 007514","","-$20.00","$820.86"
"12/16/2019","XX4125 POS PURCHASE PANDA GARDEN BUF LITTLE ROCK AR 79083084 062574","","-$21.98","$798.88"
"12/16/2019","XX4125 POS PURCHASE DOMINO&#39;S 5306 501-753-4111 AR 43015176 015176","","-$22.18","$776.70"
"12/16/2019","XX4125 POS PURCHASE PHILLIPS 66 - PD RUSSELLVILLE AR 21 082929","","-$29.50","$747.20"
"12/16/2019","XX4125 POS PURCHASE KROGER #629 BENTON AR 80062914 514358","","-$33.89","$713.31"
"12/16/2019","XX4125 ATM WITHDRAWAL BANK OZK CONWAY AR AR000175 001564","","-$60.00","$653.31"
"12/16/2019","XX4125 ATM WITHDRAWAL BANK OZK CONWAY AR AR000175 001563","","-$100.00","$553.31"
"12/16/2019","PAYPAL INST XFER APPLE.COM BILL","","-$12.99","$540.32"
"12/16/2019","FEE FOR ATM WITHDRAWAL BEARS STATIO-329 CONWAY AR P329528 007514","","-$1.00","$539.32"
"12/16/2019","ATM SURCHARGE XX4125 ATM WITHDRAWAL BEARS STATIO-329 CONWAY AR P329528 007514","","-$2.95","$536.37"
"12/17/2019","XX4125 POS PURCHASE PAPA JOHN&#39;S #019 918-576-7301 AR 31400430 000430","","-$20.87","$515.50"
"12/17/2019","XX4125 MT DDA DEBIT APPLE CASH 877-233-8552 CA 00000740 082170","","-$150.00","$365.50"
"12/17/2019","XX4125 ATM WITHDRAWAL BANK OZK CONWAY AR AR000175 001623","","-$160.00","$205.50"
"12/19/2019","* Cash App Square Inc William Block","","$164.00","$369.50"
"12/19/2019","XX4125 POS PURCHASE SHELL SERVICE ST CONWAY AR 01575501 961505","","-$3.23","$366.27"
"12/19/2019","XX4125 POS PURCHASE KUM &amp; GO #0158 CONWAY AR 04389001 999661","","-$3.47","$362.80"
"12/19/2019","XX4125 POS PURCHASE MCDONALD&#39;S F3290 CONWAY AR 1 036405","","-$7.33","$355.47"
"12/19/2019","XX4125 POS PURCHASE WAL-MART #2575 CONWAY AR 24257501 109666","","-$93.96","$261.51"
"12/20/2019","Apple Cash TRANSFER William Block","","$350.00","$611.51"
"12/20/2019","Merkle Inc.-OSV EDIPYMENTS 002Yst","","$1,454.50","$2,066.01"
"12/20/2019","XX4125 POS PURCHASE WENDY&#39;S 51 CONWAY AR 59662009 901712","","-$5.09","$2,060.92"
"12/20/2019","XX4125 POS PURCHASE MCDONALD&#39;S F3290 CONWAY AR 1 068475","","-$7.67","$2,053.25"
"12/23/2019","XX4125 POS PURCHASE MCDONALD&#39;S F3290 CONWAY AR 1 014196","","-$6.33","$2,046.92"
"12/23/2019","XX4125 POS PURCHASE TACO BELL 036397 CONWAY AR 0363002 055923","","-$7.77","$2,039.15"
"12/23/2019","XX4125 POS PURCHASE DON PEPES CONWAY AR 02530866 049476","","-$8.66","$2,030.49"
"12/23/2019","XX4125 POS PURCHASE SUBWAY 00 CONWAY AR 002 021633","","-$15.31","$2,015.18"
"12/23/2019","XX4125 POS PURCHASE WAL-MART #0005 CONWAY AR 24000501 534866","","-$17.69","$1,997.49"
"12/23/2019","XX4125 POS PURCHASE TMOBILE*AUTO PAY 800-937-8997 WA 00000000 038154","","-$80.00","$1,917.49"
"12/23/2019","XX4125 POS PURCHASE TJ MAXX #666 655 CONWAY AR 99999999 547383","","-$93.81","$1,823.68"
"12/23/2019","XX4125 POS PURCHASE CONWAY BOAT RV &amp; 501-358-6604 AR 00000000 044546","","-$203.00","$1,620.68"
"12/23/2019","PAYPAL INST XFER MICROSOFT OFFIC","","-$6.99","$1,613.69"
"12/23/2019","PAYPAL INST XFER SPOTIFYUSAI","","-$10.89","$1,602.80"
"12/24/2019","XX4125 POS PURCHASE MCDONALD&#39;S F3290 CONWAY AR 1 017075","","-$7.67","$1,595.13"
"12/24/2019","PAYPAL INST XFER APPLE.COM BILL","","-$0.99","$1,594.14"
"12/26/2019","XX4125 POS PURCHASE KUM &amp; GO #0158 CONWAY AR 04389001 232498","","-$3.47","$1,590.67"
"12/26/2019","XX4125 POS PURCHASE KUM &amp; GO #0158 CONWAY AR 04389001 250667","","-$7.62","$1,583.05"
"12/26/2019","XX4125 POS PURCHASE TACO BELL 036397 CONWAY AR 0363002 093435","","-$7.87","$1,575.18"
"12/26/2019","XX4125 POS PURCHASE KUM &amp; GO #0158 CONWAY AR 04389001 924680","","-$9.32","$1,565.86"
"12/26/2019","XX4125 POS PURCHASE MCDONALD&#39;S F3290 CONWAY AR 1 025694","","-$10.00","$1,555.86"
"12/26/2019","XX4125 POS PURCHASE SHELL SERVICE ST LITTLE ROCK AR 36233801 118444","","-$32.62","$1,523.24"
"12/26/2019","XX4125 POS PURCHASE CATINA LAREDO 19 LITTLE ROCK AR 00000000 067714","","-$58.06","$1,465.18"
"12/26/2019","XX4125 MT DDA DEBIT CASH APP* 8774174551 CA 00000000 086351","","-$60.00","$1,405.18"
"12/26/2019","CAPITAL ONE MOBILE PMT 935839800335385","","-$150.00","$1,255.18"
"12/26/2019","AMEX EPAYMENT ACH PMT M3632","","-$350.00","$905.18"
"12/27/2019","XX4125 POS PURCHASE KUM &amp; GO #0158 CONWAY AR 04389001 158201","","-$7.62","$897.56"
"12/27/2019","XX4125 POS PURCHASE KUM &amp; GO #0158 CONWAY AR 04389001 436833","","-$22.27","$875.29"
"12/27/2019","XX4125 POS PURCHASE Wal-Mart Super C CONWAY (SOUTH AR 25750008 9361065","","-$24.37","$850.92"
"12/30/2019","XX4125 ATM WITHDRAWAL BANK OF AMERICA DALLAS TX ITXH3586 617735","","-$100.00","$750.92"
"12/30/2019","PAYPAL INST XFER UBER","","-$1.00","$749.92"
"12/30/2019","PAYPAL INST XFER UBER","","-$1.00","$748.92"
"12/30/2019","PAYPAL INST XFER UBER","","-$7.64","$741.28"
"12/30/2019","PAYPAL INST XFER UBER","","-$11.76","$729.52"
"12/30/2019","PAYPAL INST XFER UBER","","-$23.91","$705.61"
"12/30/2019","FEE FOR ATM WITHDRAWAL BANK OF AMERICA DALLAS TX ITXH3586 617735","","-$1.00","$704.61"
"12/30/2019","ATM SURCHARGE XX4125 ATM WITHDRAWAL BANK OF AMERICA DALLAS TX ITXH3586 617735","","-$3.00","$701.61"
"12/31/2019","XX4125 POS PURCHASE MCDONALD&#39;S F3290 CONWAY AR 1 009315","","-$7.67","$693.94"
"12/31/2019","XX4125 POS PURCHASE KROGER #625 CONWAY AR 80062524 524241","","-$20.02","$673.92"
"01/02/2020","XX4125 POS PURCHASE KUM &amp; GO #0158 CONWAY AR 04389001 895456","","-$9.06","$664.86"
"01/02/2020","XX4125 POS PURCHASE Wal-Mart Super C CONWAY AR 00050039 000171011627","","-$14.55","$650.31"
"01/02/2020","XX4125 POS PURCHASE KROGER #625 CONWAY AR 80062513 513933","","-$24.64","$625.67"
"01/02/2020","XX4125 POS PURCHASE WAL-MART #0005 CONWAY AR 24000501 823158","","-$30.00","$595.67"
"01/02/2020","CLUB FEES 10 FITNESS ABC - 10 FITNESS 888-827-9262","","-$30.50","$565.17"
"01/03/2020","Merkle Inc.-OSV EDIPYMENTS 002aGW","","$1,452.65","$2,017.82"
"01/06/2020","Square Inc * Cash App T200184786447","","$60.00","$2,077.82"
"01/06/2020","XX4125 POS PURCHASE KROGER #625 CONWAY AR 80062538 038050","","-$5.72","$2,072.10"
"01/06/2020","XX4125 POS PURCHASE WENDY&#39;S 51 CONWAY AR 59662009 887614","","-$7.86","$2,064.24"
"01/06/2020","XX4125 POS PURCHASE KUM &amp; GO #0158 CONWAY AR 04389001 194805","","-$8.89","$2,055.35"
"01/06/2020","XX4125 POS PURCHASE KUM &amp; GO #0158 CONWAY AR 04389001 620879","","-$18.75","$2,036.60"
"01/06/2020","XX4125 POS PURCHASE KROGER #625 CONWAY AR 80062520 520191","","-$30.34","$2,006.26"
"01/06/2020","XX4125 MT DDA DEBIT CASH APP*DONALD 8774174551 CA 00000000 081113","","-$330.00","$1,676.26"
"01/07/2020","XX4125 ATM WITHDRAWAL BANK OZK LITTLE ROCK AR AR000098 001156","","-$60.00","$1,616.26"
"01/07/2020","XX4125 ATM WITHDRAWAL BANK OZK LITTLE ROCK AR AR000098 001155","","-$100.00","$1,516.26"
"01/07/2020","A CLOUD GURU LTD IAT PAYPAL 1007662196199","","-$29.00","$1,487.26"
"01/08/2020","XX4125 POS PURCHASE KUM &amp; GO #0158 CONWAY AR 04389001 903886","","-$9.06","$1,478.20"
"01/08/2020","XX4125 POS PURCHASE KUM &amp; GO #0158 CONWAY AR 04389001 683736","","-$31.73","$1,446.47"
"01/09/2020","XX4125 POS PURCHASE KROGER #625 CONWAY AR 80062510 510279","","-$18.47","$1,428.00"
"01/09/2020","XX4125 POS PURCHASE WM SUPERCENTER # CONWAY (SOUTH AR 25750044 639338","","-$60.98","$1,367.02"
"01/10/2020","XX4125 POS PURCHASE KUM &amp; GO #0158 CONWAY AR 04389001 884791","","-$12.68","$1,354.34"
"01/13/2020","XX4125 POS PURCHASE WENDY&#39;S 51 CONWAY AR 59662009 437546","","-$10.82","$1,343.52"
"01/13/2020","XX4125 POS PURCHASE SPORT CLIPS - AR CONWAY AR 45522856 022856","","-$23.00","$1,320.52"
"01/13/2020","XX4125 POS PURCHASE KROGER #625 CONWAY AR 80062513 513888","","-$38.98","$1,281.54"
"01/13/2020","XX4125 POS PURCHASE WAL-MART #2575 CONWAY AR 24257501 117641","","-$68.38","$1,213.16"
"01/14/2020","XX4125 POS PURCHASE WAL-MART #2575 CONWAY AR 24257501 433945","","-$3.67","$1,209.49"
"01/14/2020","XX4125 POS PURCHASE IRIANA`S PIZZA LITTLE ROCK AR 00000000 024335","","-$7.98","$1,201.51"
"01/14/2020","XX4125 ATM WITHDRAWAL FSNB CONWAY AR AR000401 003845","","-$80.00","$1,121.51"
"01/14/2020","CAPITAL ONE MOBILE PMT 001339800248979","","-$150.00","$971.51"
"01/14/2020","FEDLOANSERVICING STDNT LOAN 6NPGCNTSCG1","","-$457.00","$514.51"
"01/14/2020","FEE FOR ATM WITHDRAWAL FSNB CONWAY AR AR000401 003845","","-$1.00","$513.51"
"01/14/2020","ATM SURCHARGE XX4125 ATM WITHDRAWAL FSNB CONWAY AR AR000401 003845","","-$3.50","$510.01"
"01/15/2020","XX4125 POS PURCHASE SLIM CHICKENS 1 CONWAY AR 00C39643 010227","","-$20.37","$489.64"
"01/16/2020","XX4125 POS PURCHASE KROGER #625 CONWAY AR 80062520 520294","","-$23.07","$466.57"
"01/17/2020","Merkle Inc.-OSV EDIPYMENTS 002bOP","","$1,452.65","$1,919.22"
"01/17/2020","XX4125 POS PURCHASE WM SUPERCENTER # CONWAY AR 00050040 328545","","-$8.49","$1,910.73"
"01/17/2020","XX4125 POS PURCHASE WM SUPERCENTER # CONWAY AR 00050050 856916","","-$14.57","$1,896.16"
"01/21/2020","Apple Cash TRANSFER William Block","","$50.00","$1,946.16"
"01/21/2020","XX4125 POS PURCHASE KUM &amp; GO #0158 CONWAY AR 04389001 168840","","-$4.81","$1,941.35"
"01/21/2020","XX4125 POS PURCHASE MCDONALD&#39;S F2991 CONWAY AR 1 029433","","-$5.57","$1,935.78"
"01/21/2020","XX4125 POS PURCHASE WENDY&#39;S 51 CONWAY AR 59662009 843487","","-$9.16","$1,926.62"
"01/21/2020","XX4125 POS PURCHASE TACO BELL 036397 CONWAY AR 0363002 063137","","-$11.09","$1,915.53"
"01/21/2020","XX4125 POS PURCHASE Wal-Mart Super C CONWAY AR 00050045 002044851245","","-$22.88","$1,892.65"
"01/21/2020","XX4125 MT DDA DEBIT APPLE CASH 1INFINITELOOP CA 00000780 016249","","-$50.00","$1,842.65"
"01/21/2020","XX4125 POS PURCHASE WM SUPERCENTER # CONWAY (SOUTH AR 25750044 742227","","-$74.99","$1,767.66"
"01/21/2020","XX4125 ATM WITHDRAWAL BANK OZK CONWAY AR AR000175 003145","","-$180.00","$1,587.66"
"01/21/2020","AMEX EPAYMENT ACH PMT M1992","","-$396.47","$1,191.19"
"01/22/2020","Square Inc * Cash App T200189724783","","$41.00","$1,232.19"
"01/22/2020","XX4125 POS PURCHASE STARBUCKS STORE CONWAY AR 00000000 048107","","-$9.89","$1,222.30"
"01/22/2020","XX4125 POS PURCHASE KROGER #625 CONWAY AR 80062511 511030","","-$10.89","$1,211.41"
"01/22/2020","XX4125 POS PURCHASE KROGER #625 CONWAY AR 80062513 513788","","-$52.71","$1,158.70"
"01/22/2020","PAYPAL INST XFER SPOTIFYUSAI","","-$10.89","$1,147.81"
"01/22/2020","CAPITAL ONE MOBILE PMT 002139800062078","","-$200.00","$947.81"
"01/23/2020","XX4125 POS PURCHASE KUM &amp; GO #0158 CONWAY AR 04389001 650341","","-$35.29","$912.52"
"01/23/2020","XX4125 POS PURCHASE TMOBILE*AUTO PAY 800-937-8997 WA 00000000 009784","","-$80.00","$832.52"
"01/24/2020","XX4125 POS PURCHASE MCDONALD&#39;S F3290 CONWAY AR 1 075931","","-$7.67","$824.85"
"01/24/2020","PAYPAL INST XFER APPLE.COM BILL","","-$0.99","$823.86"
"01/24/2020","AMEX EPAYMENT ACH PMT M9514","","-$27.19","$796.67"
"01/27/2020","XX4125 POS PURCHASE MURPHY6799ATWALM CONWAY AR 0927001 019720","","-$12.07","$784.60"
"01/27/2020","XX4125 POS PURCHASE CHICK-FIL-A #032 CONWAY AR 1 026378","","-$15.60","$769.00"
"01/27/2020","XX4125 POS PURCHASE KROGER #625 CONWAY AR 80062525 525909","","-$62.88","$706.12"
"01/27/2020","XX4125 POS PURCHASE Wal-Mart Super C CONWAY (SOUTH AR 25750045 0026254","","-$113.15","$592.97"
"01/27/2020","XX4125 POS PURCHASE WAL-MART #2575 CONWAY AR 24257501 040669","","-$171.68","$421.29"
"01/28/2020","Square Inc * Cash App T200191107858","","$6.00","$427.29"
"01/29/2020","XX4125 POS PURCHASE MCDONALD&#39;S F2991 CONWAY AR 1 098490","","-$9.10","$418.19"
"02/03/2020","XX4125 MT DDA CREDIT Cash App*Cash Ou Visa Direct CA 1 214438","","$12.75","$430.94"
"02/03/2020","XX4125 MT DDA DEBIT CASH APP*DONALD 8774174551 CA 00000000 044948","","-$107.00","$323.94"
"02/03/2020","XX4125 MT DDA DEBIT CASH APP*OSIRIS 8774174551 CA 00000000 075866","","-$295.00","$28.94"
"02/03/2020","CLUB FEES 10 FITNESS ABC - 10 FITNESS 888-827-9262","","-$30.50","-$1.56"
